15412;14.250.160.0/20;0:00:00;1555956774;1555956774;['15412', '9304', '45899', '45899']
15412;27.123.42.0/24;0:00:11;1555958660;1555958671;['15412', '18101', '18101', '18101', '18101', '10310', '10310', '10310', '10310']
15412;202.41.147.0/24;0:00:33;1555958864;1555958897;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;203.157.15.0/24;0:00:29;1555959049;1555959078;['15412', '9304', '45629', '9649']
15412;103.251.133.0/24;0:00:33;1555959428;1555959461;['15412', '9304', '3605', '133897']
15412;103.3.80.0/22;0:00:01;1555960461;1555960462;['15412', '9304', '4775', '56262']
15412;2.179.0.0/18;0:00:11;1555960710;1555960721;['15412', '12880']
15412;45.60.157.0/24;0:00:56;1555961040;1555961096;['15412', '9957', '9957', '9957', '9957', '9957', '9957', '9957', '9286', '19551']
15412;103.238.75.0/24;0:00:01;1555961583;1555961584;['15412', '9304', '24088', '24088', '24088', '24088', '24088']
15412;103.88.112.0/23;0:00:00;1555961583;1555961583;['15412', '9304', '24088']
15412;103.238.69.0/24;0:00:00;1555961583;1555961583;['15412', '9304', '24088']
15412;103.130.208.0/22;0:00:00;1555961583;1555961583;['15412', '9304', '24088']
15412;2401:b80::/32;0:00:10;1555961597;1555961607;['15412', '133334']
15412;2401:b80::/32;0:00:36;1555962181;1555962217;['15412', '133334']
15412;2401:b80::/32;0:00:06;1555962335;1555962341;['15412', '133334']
15412;103.3.80.0/22;0:00:01;1555962730;1555962731;['15412', '9304', '4775', '56262']
15412;180.179.192.0/19;0:00:07;1555965073;1555965080;['15412', '18101', '17439']
15412;2001:df7:9301::/48;0:00:07;1555965092;1555965099;['15412', '18101', '134392']
15412;2401:b80::/32;0:00:15;1555967406;1555967421;['15412', '133334']
15412;103.214.193.0/24;0:00:01;1555969750;1555969751;['15412', '9381', '135343']
15412;198.177.121.0/24;0:00:30;1555969780;1555969810;['15412', '9381', '135343']
15412;202.92.156.0/24;0:00:01;1555971638;1555971639;['15412', '9304', '17639', '9821', '132796']
15412;103.108.104.0/22;0:00:02;1555975581;1555975583;['15412', '9304', '132167', '137431']
15412;203.157.15.0/24;0:00:28;1555985190;1555985218;['15412', '45629', '9649']
15412;103.57.226.0/24;0:00:26;1555988880;1555988906;['15412', '18101', '134029', '134029', '134029', '134029', '134029']
15412;103.254.151.0/24;0:00:01;1555999489;1555999490;['15412', '9381', '133199']
15412;124.124.232.0/24;0:00:06;1556010214;1556010220;['15412', '18101']
15412;124.124.232.0/24;0:00:05;1556014101;1556014106;['15412', '18101', '18101', '18101', '18101', '18101', '18101']
15412;124.124.232.0/24;0:00:04;1556017401;1556017405;['15412', '18101', '18101', '18101', '18101', '18101', '18101']
15412;103.79.119.0/24;0:00:33;1556017499;1556017532;['15412', '18101', '9885', '55824', '136005']
15412;41.33.146.0/24;0:00:22;1556017655;1556017677;['15412', '8452']
15412;202.4.0.0/22;0:00:31;1556021258;1556021289;['15412', '9304', '17639', '7306']
15412;103.115.4.0/24;0:00:29;1556024650;1556024679;['15412', '9304', '132167', '6453', '3491', '4651', '45558', '63998', '136786']
