15412;117.103.208.0/20;0:00:00;0123;0123;['15412', '9304', '38726', '38726', '38248']
15412;103.81.40.0/22;0:00:30;0123;0123;['15412', '4826', '64006']
15412;103.56.174.0/24;0:00:59;0123;0123;['15412', '9304', '55329', '38901']
15412;185.236.36.0/24;0:00:46;0123;0123;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '60995']
15412;103.87.72.0/24;0:00:02;0123;0123;['15412', '9304', '55355', '132146']
15412;103.76.206.0/24;0:00:31;0123;0123;['15412', '55644', '45648', '45648', '45648', '45648', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088']
15412;103.87.72.0/24;0:00:01;0123;0123;['15412', '9304', '55355', '132146']
15412;41.129.20.0/22;0:00:58;0123;0123;['15412', '8452', '24863']
15412;202.41.147.0/24;0:00:38;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;2404:4100::/48;0:00:54;0123;0123;['15412', '18101', '9885', '55824', '38185']
15412;43.245.44.0/22;0:00:58;0123;0123;['15412', '9304', '132167', '133385', '131322', '131322', '131322', '131322', '131322', '131322', '131322', '131322']
15412;122.248.102.0/24;0:00:01;0123;0123;['15412', '9304', '132167', '133385', '131322', '131322', '131322', '18399']
15412;203.157.15.0/24;0:00:30;0123;0123;['15412', '45629', '9649']
15412;193.183.144.0/24;0:00:01;0123;0123;['15412', '9381', '30821']
15412;2404:4100::/48;0:00:56;0123;0123;['15412', '18101', '9885', '55824', '38185']
15412;103.249.108.0/24;0:00:01;0123;0123;['15412', '9381', '133199']
15412;103.212.20.0/24;0:00:19;0123;0123;['15412', '18101', '134910']
15412;2001:df7:9301::/48;0:00:03;0123;0123;['15412', '18101', '134392']
15412;14.250.160.0/20;0:00:00;0123;0123;['15412', '9304', '45899', '45899']
15412;27.123.42.0/24;0:00:11;0123;0123;['15412', '18101', '18101', '18101', '18101', '10310', '10310', '10310', '10310']
15412;202.41.147.0/24;0:00:33;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;203.157.15.0/24;0:00:29;0123;0123;['15412', '9304', '45629', '9649']
15412;103.251.133.0/24;0:00:33;0123;0123;['15412', '9304', '3605', '133897']
15412;103.3.80.0/22;0:00:01;0123;0123;['15412', '9304', '4775', '56262']
15412;2.179.0.0/18;0:00:11;0123;0123;['15412', '12880']
15412;45.60.157.0/24;0:00:56;0123;0123;['15412', '9957', '9957', '9957', '9957', '9957', '9957', '9957', '9286', '19551']
15412;103.238.75.0/24;0:00:01;0123;0123;['15412', '9304', '24088', '24088', '24088', '24088', '24088']
15412;103.88.112.0/23;0:00:00;0123;0123;['15412', '9304', '24088']
15412;103.238.69.0/24;0:00:00;0123;0123;['15412', '9304', '24088']
15412;103.130.208.0/22;0:00:00;0123;0123;['15412', '9304', '24088']
15412;2401:b80::/32;0:00:10;0123;0123;['15412', '133334']
15412;2401:b80::/32;0:00:36;0123;0123;['15412', '133334']
15412;2401:b80::/32;0:00:06;0123;0123;['15412', '133334']
15412;103.3.80.0/22;0:00:01;0123;0123;['15412', '9304', '4775', '56262']
15412;180.179.192.0/19;0:00:07;0123;0123;['15412', '18101', '17439']
15412;2001:df7:9301::/48;0:00:07;0123;0123;['15412', '18101', '134392']
15412;2401:b80::/32;0:00:15;0123;0123;['15412', '133334']
15412;103.214.193.0/24;0:00:01;0123;0123;['15412', '9381', '135343']
15412;198.177.121.0/24;0:00:30;0123;0123;['15412', '9381', '135343']
15412;202.92.156.0/24;0:00:01;0123;0123;['15412', '9304', '17639', '9821', '132796']
